"","grid","gridpoint","sol","new.td","density_spruce","group1","Density"
"183","ET","ET5",18.5,31.5,0.019904459,"(0,0.0249]","mid"
"184","ET","ET5",27.5,39.5,0.019904459,"(0,0.0249]","mid"
"185","ET","ET5",20.5,42,0.019904459,"(0,0.0249]","mid"
"186","ET","ET5",2,60.5,0.019904459,"(0,0.0249]","mid"
"187","ET","ET5",4,38,0.019904459,"(0,0.0249]","mid"
"188","ET","ET6",9.5,22,0,"0","low"
"189","ET","ET6",5.5,48.7,0,"0","low"
"190","ET","ET6",19.5,37.6,0,"0","low"
"191","ET","ET6",25,36.4,0,"0","low"
"192","ET","ET6",27.5,34.1,0,"0","low"
"193","ET","ET6",32.1,40.5,0,"0","low"
"194","ET","ET6",23.1,37.1,0,"0","low"
"195","ET","ET6",3.9,54.7,0,"0","low"
"196","ET","ET6",36.9,38.6,0,"0","low"
"197","ET","ET6",28.7,29.4,0,"0","low"
"198","ET","ET6",26.6,34.5,0,"0","low"
"199","ET","ET7",19.5,33.1,0,"0","low"
"200","ET","ET7",36.1,37.9,0,"0","low"
"201","ET","ET7",32.5,34.5,0,"0","low"
"202","ET","ET7",20.8,39.7,0,"0","low"
"203","ET","ET7",21.5,41,0,"0","low"
"204","ET","ET7",21.5,26.9,0,"0","low"
"205","ET","ET7",28.4,29.5,0,"0","low"
"206","ET","ET7",28,38.5,0,"0","low"
"207","ET","ET7",13.5,35.2,0,"0","low"
"208","ET","ET7",27.3,29.5,0,"0","low"
"209","ET","ET7",28.2,33.7,0,"0","low"
"210","ET","ET8",31,35.3,0,"0","low"
"211","ET","ET8",28.5,31.2,0,"0","low"
"212","ET","ET8",24.5,22.6,0,"0","low"
"213","ET","ET8",12.3,33.9,0,"0","low"
"214","ET","ET8",14.6,36.4,0,"0","low"
"215","ET","ET8",12,27.9,0,"0","low"
"216","ET","ET8",17.5,36.9,0,"0","low"
"217","ET","ET8",15.2,35.6,0,"0","low"
"218","ET","ET8",28.5,33.2,0,"0","low"
"219","ET","ET8",40.2,41.8,0,"0","low"
"220","ET","ET8",31,36.5,0,"0","low"
"221","ET","ET8",25.9,33.4,0,"0","low"
"222","ET","ET9",21,30.3,0,"0","low"
"223","ET","ET9",17.1,24.5,0,"0","low"
"224","ET","ET9",15.6,30.7,0,"0","low"
"225","ET","ET9",23.7,35.1,0,"0","low"
"226","ET","ET9",24.2,35.1,0,"0","low"
"227","ET","ET9",24.5,29.1,0,"0","low"
"228","ET","ET9",24.1,35.4,0,"0","low"
"229","ET","ET9",30.5,38.2,0,"0","low"
"230","ET","ET9",4.5,39.1,0,"0","low"
"231","ET","ET9",17.4,23.5,0,"0","low"
"232","ET","ET9",31.1,32.5,0,"0","low"
"233","ET","ET9",14.7,33.5,0,"0","low"
"234","WC","WC1",20.5,61.2,0,"0","low"
"235","WC","WC1",19.1,59.8,0,"0","low"
"236","WC","WC1",15.9,49,0,"0","low"
"237","WC","WC1",6,61.6,0,"0","low"
"238","WC","WC1",17.5,65.7,0,"0","low"
"239","WC","WC1",14.8,54.3,0,"0","low"
"240","WC","WC1",3.9,75.2,0,"0","low"
"241","WC","WC1",11,48.1,0,"0","low"
"242","WC","WC1",17.1,58.5,0,"0","low"
"243","WC","WC1",15.1,57.5,0,"0","low"
"244","WC","WC1",6.2,71.5,0,"0","low"
"245","WC","WC1",22,52.4,0,"0","low"
"246","WC","WC10",1.5,32,0,"0","low"
"247","WC","WC10",20.5,54.5,0,"0","low"
"248","WC","WC10",34,111,0,"0","low"
"249","WC","WC10",19,101,0,"0","low"
"250","WC","WC10",40.5,68,0,"0","low"
